	airport_id	airport_name	year	month	origin_domestic	origin_international	origin_total	destination_domestic	destination_international	destination_total	destination_total	report_dt
145	KDEN	DENVER INTL AIRPORT	2013	12	21,903	993	22,896	21,933	985	22,918	22,918	2023-09-14
146	KDEN	DENVER INTL AIRPORT	2013	TOTAL	267,649	11,097	278,746	267,437	11,064	278,501	278,501	2023-09-14
147	KDEN	DENVER INTL AIRPORT	2014	1	20,082	1,048	21,130	20,039	1,052	21,091	21,091	2023-09-14
148	KDEN	DENVER INTL AIRPORT	2014	2	18,545	987	19,532	18,522	982	19,504	19,504	2023-09-14
149	KDEN	DENVER INTL AIRPORT	2014	3	21,712	1,168	22,880	21,608	1,165	22,773	22,773	2023-09-14
150	KDEN	DENVER INTL AIRPORT	2014	4	20,125	1,037	21,162	20,036	1,034	21,070	21,070	2023-09-14
151	KDEN	DENVER INTL AIRPORT	2014	5	21,776	1,016	22,792	21,660	1,010	22,670	22,670	2023-09-14
152	KDEN	DENVER INTL AIRPORT	2014	6	22,632	999	23,631	22,566	983	23,549	23,549	2023-09-14
153	KDEN	DENVER INTL AIRPORT	2014	7	23,919	979	24,898	23,914	971	24,885	24,885	2023-09-14
154	KDEN	DENVER INTL AIRPORT	2014	8	23,399	931	24,330	23,424	889	24,313	24,313	2023-09-14
155	KDEN	DENVER INTL AIRPORT	2014	9	22,103	834	22,937	22,095	832	22,927	22,927	2023-09-14
156	KDEN	DENVER INTL AIRPORT	2014	10	22,557	861	23,418	22,559	860	23,419	23,419	2023-09-14
157	KDEN	DENVER INTL AIRPORT	2014	11	20,008	853	20,861	20,055	846	20,901	20,901	2023-09-14
158	KDEN	DENVER INTL AIRPORT	2014	12	20,945	989	21,934	20,932	989	21,921	21,921	2023-09-14
159	KDEN	DENVER INTL AIRPORT	2014	TOTAL	257,803	11,702	269,505	257,410	11,613	269,023	269,023	2023-09-14
160	KDEN	DENVER INTL AIRPORT	2015	1	19,441	984	20,425	19,448	977	20,425	20,425	2023-09-14
161	KDEN	DENVER INTL AIRPORT	2015	2	17,609	905	18,514	17,633	898	18,531	18,531	2023-09-14
162	KDEN	DENVER INTL AIRPORT	2015	3	21,473	933	22,406	21,469	931	22,400	22,400	2023-09-14
163	KDEN	DENVER INTL AIRPORT	2015	4	20,070	840	20,910	20,071	837	20,908	20,908	2023-09-14
164	KDEN	DENVER INTL AIRPORT	2015	5	20,731	792	21,523	20,711	795	21,506	21,506	2023-09-14
165	KDEN	DENVER INTL AIRPORT	2015	6	21,261	763	22,024	21,269	758	22,027	22,027	2023-09-14
166	KDEN	DENVER INTL AIRPORT	2015	7	22,157	779	22,936	22,158	771	22,929	22,929	2023-09-14
167	KDEN	DENVER INTL AIRPORT	2015	8	22,102	758	22,860	22,105	756	22,861	22,861	2023-09-14
168	KDEN	DENVER INTL AIRPORT	2015	9	20,453	649	21,102	20,443	647	21,090	21,090	2023-09-14
169	KDEN	DENVER INTL AIRPORT	2015	10	21,385	711	22,096	21,384	709	22,093	22,093	2023-09-14
170	KDEN	DENVER INTL AIRPORT	2015	11	19,998	781	20,779	19,987	769	20,756	20,756	2023-09-14
171	KDEN	DENVER INTL AIRPORT	2015	12	20,698	802	21,500	20,720	803	21,523	21,523	2023-09-14
172	KDEN	DENVER INTL AIRPORT	2015	TOTAL	247,378	9,697	257,075	247,398	9,651	257,049	257,049	2023-09-14
173	KDEN	DENVER INTL AIRPORT	2016	1	20,270	887	21,157	20,244	884	21,128	21,128	2023-09-14
174	KDEN	DENVER INTL AIRPORT	2016	2	18,951	795	19,746	18,936	788	19,724	19,724	2023-09-14
175	KDEN	DENVER INTL AIRPORT	2016	3	21,224	884	22,108	21,260	879	22,139	22,139	2023-09-14
176	KDEN	DENVER INTL AIRPORT	2016	4	20,053	729	20,782	20,055	724	20,779	20,779	2023-09-14
177	KDEN	DENVER INTL AIRPORT	2016	5	21,602	777	22,379	21,578	786	22,364	22,364	2023-09-14
178	KDEN	DENVER INTL AIRPORT	2016	6	22,139	821	22,960	22,119	816	22,935	22,935	2023-09-14
